unobserved_strength,seed,generator,iteration,selection_severity,frontier_severity,passed,naive_declined_ece,reweight_declined_ece,retrain_declined_ece,naive_declined_empc,naive_declined_emp_h,reweight_declined_empc,reweight_declined_emp_h,exploration_cost
0.0,1352,flat,0,0.0,0.4,True,0.015865346927279745,0.02834262984998971,0.02345326476032087,0.010662632242857958,,0.01019287415364203,,0.0
0.0,1352,flat,1,0.2,0.4,True,0.022735009435265043,0.027467132456527966,0.0341356986774109,0.01581335005675383,,0.016850151159793814,,0.0
0.0,1352,flat,2,0.4,0.4,True,0.04642186357759908,0.06688375121631682,0.09305508997068829,0.02278809301552675,,0.022739616453324302,,0.0
0.0,1352,flat,3,0.6,0.4,False,0.15023232729690952,0.13229770538976585,0.13612266319728014,0.021505667734630154,,0.018952446783483255,,0.0
0.0,1368,flat,0,0.0,0.4,True,0.033797901590468075,0.02973531966255017,0.022345655598793028,0.01261225637619551,,0.013724669839827178,,0.0
0.0,1368,flat,1,0.2,0.4,True,0.0347203918886337,0.045341704200743814,0.045399141573103576,0.013978372655835004,,0.014484562094407192,,0.0
0.0,1368,flat,2,0.4,0.4,True,0.07945970790712907,0.06825861209260896,0.07478425427442532,0.018094930248387042,,0.017842655726755557,,0.0
0.0,1368,flat,3,0.6,0.4,False,0.15099965402558804,0.1581278273791234,0.1395507988529458,0.02370438421553475,,0.022458349169798233,,0.0
0.0,1384,flat,0,0.0,0.4,True,0.01538197554440485,0.01378005026754165,0.024780961447850674,0.011288235516452617,,0.01097029471317465,,0.0
0.0,1384,flat,1,0.2,0.4,True,0.014338906022111497,0.02389981259101817,0.03659873335202845,0.015788595862944454,,0.01679038729897581,,0.0
0.0,1384,flat,2,0.4,0.4,True,0.080573183298416,0.0646981075686529,0.06673429099112511,0.0218458921620011,,0.021761222266914036,,0.0
0.0,1384,flat,3,0.6,0.4,False,0.18851555463547995,0.18018325696245507,0.1584570555436106,0.02494149056802571,,0.025545467282816228,,0.0
0.0,1000,scm,0,0.0,0.4,True,0.0250110881642062,0.024460570835116366,0.022618978492601634,0.020878786344137736,0.04204901905089959,0.02053770563099866,0.04175826121193738,0.0
0.0,1000,scm,1,0.2,0.4,True,0.02884655275197278,0.02873536337877818,0.03170829246501881,0.030502150594243705,0.0307043289415007,0.03005397758312825,0.02907336801887597,0.0
0.0,1000,scm,2,0.4,0.4,True,0.07125733017454673,0.06250083834806774,0.06141285312175693,0.037553704081639286,0.01659401460127646,0.035001799924051474,0.01548143599413297,0.0
0.0,1000,scm,3,0.6,0.4,False,0.23293939047181378,0.20233190527391726,0.23408497007168905,0.0534683599165309,0.006481544290363694,0.05276342217100684,0.006137425044219109,0.0
0.0,1016,scm,0,0.0,0.4,True,0.020248308403411203,0.02773244736580288,0.017925719606575508,0.02252771690635815,0.04065581440206267,0.020746302756447593,0.04188200290474154,0.0
0.0,1016,scm,1,0.2,0.4,True,0.030265370632410974,0.02856112243618144,0.025187315079137875,0.02915381196694751,0.029908929149235,0.029617095030817144,0.03197720444783074,0.0
0.0,1016,scm,2,0.4,0.4,True,0.08066102099388658,0.06543547755796457,0.08141394763359475,0.04133744449619186,0.01590643147500545,0.04056003075720849,0.016259925820765565,0.0
0.0,1016,scm,3,0.6,0.4,False,0.22932606627654475,0.24120311654143547,0.231344432389766,0.044204244502861326,0.0065040991254098,0.04427562170758571,0.0068654789446421635,0.0
0.0,1032,scm,0,0.0,0.4,True,0.029432172706148257,0.022642134150798778,0.019643078579821463,0.01933321887317279,0.04071811037909574,0.01894110827160398,0.04034373147789897,0.0
